timestamp,Open,High,Low,Close,Volume,ingested_at,drop_pct,price_signal,volume_signal
2023-01-01 00:00:00,16541.77,16544.76,16538.45,16543.67,83.08143,2026-04-09 18:16:10.482,-0.011486074343905259,False,False
2023-01-01 00:01:00,16543.04,16544.41,16538.48,16539.31,80.453,2026-04-09 18:16:10.482,0.022547246455304242,False,False
2023-01-01 00:02:00,16539.31,16541.17,16534.52,16536.43,62.90197,2026-04-09 18:16:10.482,0.017413060157896662,False,False
2023-01-01 00:03:00,16536.43,16537.28,16531.0,16533.65,115.71894,2026-04-09 18:16:10.482,0.016811367387028736,False,False
2023-01-01 00:04:00,16534.12,16536.08,16527.51,16535.38,144.45369,2026-04-09 18:16:10.482,-0.007620605148638314,False,False
2023-01-01 00:05:00,16534.91,16537.8,16533.94,16536.7,53.58957,2026-04-09 18:16:10.482,-0.010825580544441264,False,False
2023-01-01 00:06:00,16536.76,16540.43,16534.2,16535.91,96.45571,2026-04-09 18:16:10.482,0.005140063712592702,False,False
2023-01-01 00:07:00,16535.91,16539.69,16533.95,16534.67,56.7201,2026-04-09 18:16:10.482,0.0074988313313364705,False,False
2023-01-01 00:08:00,16533.98,16534.79,16528.0,16529.28,95.13552,2026-04-09 18:16:10.482,0.028426307519428037,False,False
2023-01-01 00:09:00,16529.28,16529.52,16522.55,16526.67,89.28953,2026-04-09 18:16:10.482,0.015790161458941843,False,False
2023-01-01 00:10:00,16526.67,16530.87,16522.55,16525.34,96.60421,2026-04-09 18:16:10.482,0.00804759821547903,False,False
2023-01-01 00:11:00,16525.34,16527.42,16523.98,16525.84,43.33715,2026-04-09 18:16:10.482,-0.0030256563556332276,False,False
2023-01-01 00:12:00,16525.84,16526.46,16520.92,16521.68,42.25952,2026-04-09 18:16:10.482,0.02517269923949315,False,False
2023-01-01 00:13:00,16522.1,16524.79,16520.67,16524.17,54.19482,2026-04-09 18:16:10.482,-0.012528673715809185,False,False
2023-01-01 00:14:00,16524.6,16525.53,16520.0,16520.69,58.34319,2026-04-09 18:16:10.482,0.023661692264864836,False,False
2023-01-01 00:15:00,16521.26,16526.84,16519.4,16521.0,114.31289,2026-04-09 18:16:10.482,0.0015737298486822391,False,False
2023-01-01 00:16:00,16521.56,16523.96,16517.72,16519.62,140.09379,2026-04-09 18:16:10.482,0.011742232573693574,False,False
2023-01-01 00:17:00,16519.14,16522.9,16517.72,16522.48,47.00352,2026-04-09 18:16:10.482,-0.02021897023695026,False,False
