minute,avg_volume
0,47.333440637901724
1,42.89303963777887
2,41.327958670185154
3,40.21437705536835
4,38.37002784560072
5,40.0891994502587
6,40.12652501688149
7,39.85911427257047
8,38.68790761159963
9,37.800959683068974
10,38.55357151178815
11,37.94542760469915
12,37.93153303446126
13,36.426697010966954
14,35.414991343711485
15,40.29183498246126
16,39.05372239558853
17,38.67346673215309
18,37.55437792273869
19,36.48023427515813
20,38.0844399297623
21,38.345738099112545
22,37.16044477121502
23,36.72958815591848
24,35.56772790770539
25,36.97230699716572
26,35.93299863739454
27,35.76444819095537
28,34.77907162642762
29,34.54874375761923
30,44.573384845641854
31,41.698374556271936
32,40.39178529762582
33,39.91342382305123
34,38.62488046853653
35,39.772704618089286
36,39.2701909655384
37,38.64062435981281
38,38.207427572291294
39,37.212922479955715
40,38.53977733169018
41,37.84184431661515
42,37.42018288909425
43,35.91380585294696
44,35.2144686478539
45,40.23006269151778
46,38.53936436475656
47,37.90220594914764
48,37.18048826785803
49,36.210283814007134
50,37.6322204714722
51,36.50191814208245
52,36.16419157625792
53,35.89982456570143
54,35.283431712836226
55,36.31562359868552
56,35.247713452290014
57,35.37660909993812
58,34.5128687795851
59,34.99015804962028
